Ticker,Date,YearMonth,Gross_Profitability,ROIC,FCF_Yield,Revenue_Growth_YoY,Momentum_6M,Accrual_Ratio,Interest_Coverage,Shares_Outstanding_YoY_Growth,Forward_1yr_Return,y_target,Sector_Basic Materials,Sector_Business Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Other,Sector_Real Estate,Sector_Technology,Sector_Utilities
DKS,2021-05-26,2021-05,0.4859565020120051,0.464026558898709,0.23736000191860324,1.1892121977636232,0.6731848325114778,-0.11702741434412105,25.918944374676812,0.01213366135619931,-0.14044715447154477,5.0,0,0,1,0,0,0,0,0,0,0,0,0
DG,2021-05-27,2021-05,0.4310721632441772,0.3464943136908291,0.035604430238531944,-0.005620558282354526,-0.040332425579866715,0.037500706312687974,22.440362107259613,-0.05255381682421156,0.11737364841724163,8.0,0,0,0,1,0,0,0,0,0,0,0,0
LOW,2021-05-27,2021-05,0.6091796875,0.4601713875638482,0.06681671677201656,0.24127064803049558,0.2504517294785751,-0.04837890625,12.749707602339182,-0.0490066225165563,0.030242039531403142,7.0,0,0,1,0,0,0,0,0,0,0,0,0
OKTA,2021-05-27,2021-05,0.19458397112679485,-0.09961858655176607,0.004840104899383955,0.3726751212682997,-0.031021261763680696,-0.13132574268018132,-2.8528636641724314,0.030106725832834025,-0.6130395683453238,1.0,0,0,0,0,0,0,0,0,0,0,1,0
BURL,2021-05-27,2021-05,0.4455287755969187,0.15734696738371898,0.02003336825659392,1.736410558399447,0.4368223058198717,-0.020362374706497363,4.023121950269301,0.012581589702922003,-0.4713383643924226,2.0,0,0,0,1,0,0,0,0,0,0,0,0
ULTA,2021-05-27,2021-05,0.47161105633681005,0.1994871526570098,0.0551133417951518,0.6523205564221239,0.1533138983527098,-0.10518867256971144,153.99075316324414,-0.0012052677289565716,0.29455475697405276,8.0,0,0,1,0,0,0,0,0,0,0,0,0
DLTR,2021-05-27,2021-05,0.3781536956195354,0.1919241289206794,0.06155750115696062,0.030683336514601978,-0.10094297260889085,0.001505888165310697,14.574589578872233,-0.015618404390038032,0.648186994306263,9.0,0,0,0,1,0,0,0,0,0,0,0,0
HEI,2021-05-27,2021-05,0.17896159511878165,0.11272673479985133,0.02013775681199584,-0.003193448197784443,0.07878086419753094,-0.03421258756197207,34.673507462686565,0.004633583081481207,0.03168585938058799,7.0,0,0,0,0,0,0,0,1,0,0,0,0
MOV,2021-05-27,2021-05,0.45027392882744643,0.47356376476979495,0.10914701162058135,0.9349180374931818,0.6164680390032502,-0.040402702726045264,106.57717778909831,0.00773518862624778,0.22319034852546915,8.0,0,0,1,0,0,0,0,0,0,0,0,0
SAFM,2021-05-27,2021-05,0.22169672862765302,0.14259785726606572,0.06830965363332589,0.34232891485963846,0.17776650481918987,-0.038601814300747404,72.25865976044027,0.0034635191177141422,0.23061777012060047,8.0,0,0,0,1,0,0,0,0,0,0,0,0
DXLG,2021-05-27,2021-05,0.4918583979149766,-0.19847981475888452,0.10324158437321428,0.9482761633494678,7.157894736842106,-0.11739303036056406,-2.7394627142195462,0.22449663107293438,0.43225806451612914,9.0,0,0,1,0,0,0,0,0,0,0,0,0
TGT,2021-05-28,2021-05,0.5896455390224089,0.30552440215621723,0.07063319342833718,0.23359673719092533,0.2619285952619286,-0.0358423649224307,8.724173553719009,-0.004990019960079861,-0.286620835536753,4.0,0,0,0,1,0,0,0,0,0,0,0,0
GPS,2021-05-28,2021-05,0.44597177300793883,0.12380573248407643,0.08928855389116813,0.8941623160892265,0.5486111111111112,-0.05072037635989415,2.827272727272727,0.010752688172043001,-0.670254110612855,1.0,0,0,1,0,0,0,0,0,0,0,0,0
NDSN,2021-05-28,2021-05,0.33528933964967134,0.18179953177418964,0.038010905927507915,0.11343247500368281,0.09460326865155788,-0.050664967968600046,19.289372599231754,0.006779132063040816,-0.017186160855248378,7.0,0,0,0,0,0,0,0,1,0,0,0,0
TJX,2021-05-28,2021-05,0.3445250478904728,0.23248325486370233,0.08237982679093941,1.2878015953229025,0.07547770700636947,-0.17146280931786925,13.183604580477125,0.006370798683262624,-0.05877998223275105,6.0,0,0,1,0,0,0,0,0,0,0,0,0
A,2021-06-01,2021-06,0.2992883246778227,0.147894600878326,0.029869090493340193,0.23182552504038778,0.20255938294329034,-0.03164070013464128,15.472972972972974,-0.009708737864077666,-0.10284256559766758,7.0,0,0,0,0,0,0,1,0,0,0,0,0
HRL,2021-06-01,2021-06,0.18269453627483617,0.13389418759361701,0.02408606313087503,0.07602008697752094,0.024152542372881447,0.02616026851642491,43.10127422902918,0.0038578827359747603,-0.0012412081092263438,8.0,0,0,0,1,0,0,0,0,0,0,0,0
ZM,2021-06-02,2021-06,0.38993270229600835,0.2057786651332198,0.016524515703305424,1.9138731194788021,-0.3161844635839117,-0.12146956217688687,,0.04967527175237807,-0.656873834489927,0.0,0,0,0,0,0,0,0,0,0,0,1,0
CRM,2021-06-02,2021-06,0.25600678122832704,0.02097747518733836,0.026343094109999597,0.225693730729702,-0.04548413344182267,-0.01803190259690221,,0.013392857142857206,-0.1969994032904271,6.0,0,0,0,0,0,0,0,0,0,0,1,0
LE,2021-06-02,2021-06,0.6264362192771382,0.10997986395789969,0.1038733951616762,0.4805767529307676,0.28187650360866057,-0.07097048762345905,2.467130114592261,0.009954388560157845,-0.6068188927119174,1.0,0,0,1,0,0,0,0,0,0,0,0,0
SMTC,2021-06-02,2021-06,0.35524211002629913,0.0990644475284752,0.023574274682342126,0.28386912028454736,-0.0821105676597006,-0.019875338555763417,35.70544858664482,-0.007623229504947426,0.03907637655417395,8.0,0,0,0,0,0,0,0,0,0,0,1,0
HPE,2021-06-03,2021-06,0.16345230178083203,0.05900487083050743,0.09984096554573801,0.11499417540356127,0.4196428571428572,-0.026416906820365033,,0.013942680092951187,-0.051572327044025146,7.0,0,0,0,0,0,0,0,0,0,0,1,0
KSS,2021-06-03,2021-06,0.44986043978487306,0.07258158169782836,0.18613664934578622,0.6009060955518946,0.4624863088718507,-0.07754101708761658,2.1331058020477816,0.0,-0.22336641078449726,5.0,0,0,1,0,0,0,0,0,0,0,0,0
GWRE,2021-06-03,2021-06,0.17545081491799264,-0.03224265684680006,0.011279382190301635,-0.024957630898225003,-0.1823975475959987,-0.05434223666777631,-7.535608674223756,0.006938162230135658,-0.21114948199309314,5.0,0,0,0,0,0,0,0,0,0,0,1,0
ADSK,2021-06-03,2021-06,0.4858939753093186,0.2286086107797419,0.02239122488627361,0.11663091340182907,-0.016624270001074803,-0.00713864886343395,14.084632516703786,0.0018248175182482562,-0.24082777717054693,5.0,0,0,0,0,0,0,0,0,0,0,1,0
TOL,2021-06-03,2021-06,0.14427200536053741,0.09691752472042187,0.15776459113532929,0.24598727496204176,0.35116329636877586,-0.06196636197167404,,-0.03049803049803046,-0.19488252333440614,6.0,0,0,1,0,0,0,0,0,0,0,0,0
TTC,2021-06-03,2021-06,0.43822103935470974,0.27675659804505454,0.06186225975885443,0.2363992605966443,0.17220443757589132,-0.09867932041190758,17.156033175202506,0.005299761975602557,-0.1869290893681137,6.0,0,0,0,0,0,0,0,1,0,0,0,0
COST,2021-06-03,2021-06,0.38970562558927263,0.22849232523105736,0.027773764439093254,0.21496806740728824,-0.009521106409330127,-0.00958550127457485,35.97435897435897,,0.24065438820433993,9.0,0,0,0,1,0,0,0,0,0,0,0,0
LULU,2021-06-03,2021-06,0.6535827841779506,0.38506546761091043,0.021690331184805366,0.8811909283056374,-0.15935579571943204,-0.04436685866030337,,0.0008214908138901578,-0.05218048903453487,7.0,0,0,1,0,0,0,0,0,0,0,0,0
SCWX,2021-06-03,2021-06,0.3278304161915332,-0.04386818424311911,0.034132593227269685,-0.012168776251761937,0.38636363636363624,-0.06787596807915428,-34.547654565019606,0.012935827423459889,-0.28840315725561616,4.0,0,0,0,0,0,0,0,0,0,0,1,0
BBWI,2021-06-03,2021-06,0.3530248435425754,0.3504468925379339,0.12976353416844197,-0.11124546553808945,0.6984575835475577,-0.09226246918262848,3.730088495575221,0.0072202166064982976,-0.4233388830028757,2.0,0,0,1,0,0,0,0,0,0,0,0,0
PLAN,2021-06-03,2021-06,0.4991959423429778,-0.6267372676505631,0.00048775928321885233,0.2501925965871885,-0.28178644166424205,-0.2369877718855537,-332.610101010101,0.05734735483492459,0.33279319424751885,9.0,0,0,0,0,0,0,0,0,0,0,1,0
SCVL,2021-06-04,2021-06,0.5473523808508057,0.38561987010206267,0.18489139048955203,1.2269026068680295,0.7347593582887699,-0.08951204457071094,345.45524296675194,0.009791309319611141,-0.1442663378545005,6.0,0,0,1,0,0,0,0,0,0,0,0,0
FIVE,2021-06-04,2021-06,0.3407654207014856,0.31234996916107377,0.02453897345917561,1.9757390529569583,0.21926058819760375,-0.015475126527993295,101.78081232492997,0.004442955333830101,-0.3025382311209207,4.0,0,0,1,0,0,0,0,0,0,0,0,0
MDB,2021-06-04,2021-06,0.3250313764175644,-0.24748843228830764,-0.0019359604221868259,0.39376501008984954,0.17677578291217189,-0.1738467669405434,-5.203276077806848,0.06498530673037295,-0.12903225806451613,6.0,0,0,0,0,0,0,0,0,0,0,1,0
WMT,2021-06-04,2021-06,0.5971654528470165,0.18215370275714843,0.05363659951572783,0.027395225148935554,-0.05760414590392671,-0.03874360155718337,13.177270255573681,-0.00565171317555635,-0.11971235194585461,7.0,0,0,0,1,0,0,0,0,0,0,0,0
HPQ,2021-06-04,2021-06,0.34258589250050653,1.7031306225260885,0.14614754128720955,0.27331782821397055,0.3422436459246274,-0.05285247040435324,,-0.1400696864111498,0.2902383284361738,9.0,0,0,0,0,0,0,0,0,0,0,1,0
GES,2021-06-04,2021-06,0.3677155973757879,0.15946619773018983,0.11033103545514852,0.9980787777952822,0.670219064535228,-0.046619672171131395,7.082177011063192,-0.02556493951152705,-0.28110599078341014,4.0,0,0,1,0,0,0,0,0,0,0,0,0
DOCU,2021-06-04,2021-06,0.535383436651111,-0.14285943049991143,0.006724382144914973,0.579296807926819,0.07138263665594868,-0.22141725290798914,-5.729958652803982,0.06210582693001343,-0.6387412107700223,1.0,0,0,0,0,0,0,0,0,0,0,1,0
SMAR,2021-06-04,2021-06,0.3579929073932235,-0.21326559297159647,6.967799287018158e-05,0.36958835846385996,0.12941176470588234,-0.13814976822848643,-1015.6953125,0.04425076555506946,-0.382260101010101,3.0,0,0,0,0,0,0,0,0,0,0,1,0
YEXT,2021-06-04,2021-06,0.4580597421296768,-0.3724426359217814,-0.00813992549201042,0.07780811003971833,-0.247461250668092,-0.11480390797647463,-152.82931354359926,0.07517573047926396,-0.6342329545454546,1.0,0,0,0,0,0,0,0,0,0,0,1,0
VEEV,2021-06-04,2021-06,0.3511172202154525,0.171238339391996,0.016686948916924522,0.28616221603887215,0.05833333333333357,-0.10067008074424863,,0.019426110564995547,-0.3445835790349996,3.0,0,0,0,0,0,0,0,0,0,0,1,0
COO,2021-06-04,2021-06,0.19110696933492055,0.05679531157044669,0.0220035384456892,0.3707372832920557,0.1415421398684995,0.21539195458246155,18.02008032128514,0.0,-0.09781128914022397,7.0,0,0,0,0,0,0,1,0,0,0,0,0
SPWH,2021-06-04,2021-06,0.7164536447014623,0.6397733064617945,0.23385537335465506,0.3247391982498431,0.28020014295925666,-0.11337575827980631,62.27583067819754,0.008378147575414774,-0.4868788386376326,2.0,0,0,1,0,0,0,0,0,0,0,0,0
ZUO,2021-06-04,2021-06,0.43623574410748395,-0.3052845592117636,0.0047449651074241445,0.08702535927900623,0.28929188255613125,-0.19787166738705758,-31.924652820268474,0.053978235002909436,-0.33355659745478905,3.0,0,0,0,0,0,0,0,0,0,0,1,0
NX,2021-06-04,2021-06,0.3235970664028218,0.16119676132470184,0.11916344115199706,0.4420962795039338,0.3147969052224373,-0.07362501607105924,22.304210827843026,0.020779777206512362,-0.12210371460095626,7.0,1,0,0,0,0,0,0,0,0,0,0,0
BBY,2021-06-04,2021-06,0.622310081897769,0.5087082728592163,0.04629208726525117,0.3591450595655221,0.07927793802921745,0.03400169443659983,65.20930232558139,,-0.3165790154323649,4.0,0,0,1,0,0,0,0,0,0,0,0,0
PD,2021-06-04,2021-06,0.2492019784485816,-0.13057747242309053,0.0032767433693612525,0.2772867874502871,0.031505250875145885,-0.1155715768905856,-9.877389584706657,0.06615661566156605,-0.24547511312217196,5.0,0,0,0,0,0,0,0,0,0,0,1,0
CRWD,2021-06-04,2021-06,0.2561625117009716,-0.06363876800873479,0.007253037363240031,0.7006199530542796,0.45896785109983074,-0.17176939515217945,-37.82673637042569,0.05172454241328017,-0.18348313520827297,6.0,0,0,0,0,0,0,0,0,0,0,1,0
PHR,2021-06-04,2021-06,0.2428907186882465,-0.06113755071562402,-0.007306499626604965,0.4460114983830399,0.21891338940668326,-0.02558967076084768,-21.031522468142185,0.21733485429056065,-0.613763521074226,1.0,0,0,0,0,0,0,0,0,0,0,1,0
HURC,2021-06-04,2021-06,0.14859447923856808,0.021631445477599324,0.13288892138702027,0.5600926574368368,0.25427135678391943,-0.09828196538600369,568.6666666666666,-0.024335954889449507,-0.3010149572649572,4.0,0,0,0,0,0,0,0,0,0,0,1,0
JWN,2021-06-04,2021-06,0.4067288117432765,-0.08591435496902775,-0.048374477997519885,0.42000943841434646,0.1794782608695651,-0.008036001285760206,-1.1232394366197183,0.013427109974424534,-0.2279563550575051,5.0,0,0,1,0,0,0,0,0,0,0,0,0
DELL,2021-06-07,2021-06,0.15236710690584138,0.07111254410948108,0.15791759082713672,0.03164817098232642,0.4501947690595438,-0.06816315132400289,,0.02297297297297307,-0.01861089792785875,8.0,0,0,0,0,0,0,0,0,0,0,1,0
M,2021-06-07,2021-06,0.3748479150536445,-0.044905008635578586,0.13842441338350586,0.545425667090216,0.6598397150489759,-0.2329941378166132,-1.1655172413793105,,0.3122317596566524,9.0,0,0,1,0,0,0,0,0,0,0,0,0
ZUMZ,2021-06-07,2021-06,0.4219358540544152,0.27341216024586573,0.14199769637687396,1.0255857503701766,0.2653114412301276,-0.04891708030229789,46.5241298625329,0.005071884984025665,-0.38269824922760043,3.0,0,0,1,0,0,0,0,0,0,0,0,0
HIBB,2021-06-07,2021-06,0.7615785260698964,0.33566845687854263,0.19189053962591612,0.8783969581636322,0.8232508073196985,-0.10821412556987199,630.0409836065573,-0.013356702526290287,-0.40595111583421883,2.0,0,0,1,0,0,0,0,0,0,0,0,0
VMW,2021-06-07,2021-06,0.3449029884419145,0.18131131343072907,0.059416163951088376,0.09509875640087784,0.1469750889679715,-0.06650237756412482,12.53170731707317,0.0017519832306762684,-0.1890784982935153,6.0,0,0,0,0,0,0,0,0,0,0,1,0
PSSR,2021-06-07,2021-06,0.8183509361077128,-0.10083396023354292,-0.533726660049599,-0.5401187010458854,1.1875,0.5217152101291026,1.1232644382664596,0.0,-0.5714285714285714,1.0,0,0,0,0,0,0,0,1,0,0,0,0
DCI,2021-06-07,2021-06,0.38813386562473456,0.21494704992435704,0.04678983883612105,0.21486422105764658,0.1707726763717805,-0.044338741612163425,25.553956834532375,-0.003940110323089052,-0.1471385302088315,6.0,0,0,0,0,0,0,0,1,0,0,0,0
AMBA,2021-06-08,2021-06,0.2519815680814453,-0.1133476085602511,0.003450222398177012,0.28342940799707206,0.03094411114619522,-0.11509173197773664,,0.05457617341146648,-0.1562021439509954,6.0,0,0,0,0,0,0,0,0,0,0,1,0
HQY,2021-06-08,2021-06,0.1297890583069697,0.02312388542822601,0.02845507953849559,-0.030571914257595645,0.15354107648725224,-0.058524246260676836,2.225509263998362,0.15169061707523257,-0.21598722986247543,5.0,0,0,0,0,0,0,0,0,0,0,1,0
ASO,2021-06-08,2021-06,0.4293897120870202,0.3075167586985626,0.2990499903431369,0.3907696992258214,1.496851385390428,-0.12782872516538518,8.432735396715486,0.2706349863399289,-0.0360655737704918,8.0,0,0,1,0,0,0,0,0,0,0,0,0
