Ticker,Current Price,Regular Market Change,52 Week High,52 Week Low,52 Week Change Percent,50 Day Average,200 Day Average,Volume,Market Volume,Beta,Market Cap,Forward PE,Trailing PE,Price to Book,Price To Sales 12 Months,Enterprise Value,Enterprise To EBITA,Enterprise To Revenue,Gross Margins,Profit Margins,Operating Margins,EBITA Margins,Return on Assets,Return on Equity,Net Income to Common,EBITA,Earnings Growth,Total Debt,Debt to Equity,Total Cash,Free Cashflow,Operating Cashflow,Current Ratio,Quick Ratio,Revenue Growth,Total Cash Per Share,Recommendation Mean,Target Mean Price
PAX,15.13,2.1262271,16.24,9.43,20.349312,14.5242,12.9266,234206,234206,0.704,2390540032.0,10.222973,28.018518,3.9545217,5.8908734,2382114560.0,12.511,5.87,0.61899,0.26213,0.31676,0.46919,0.07534,0.20306998,106375000.0,190400000.0,47.915,146300000.0,24.278,52300000.0,,,0.643,0.392,0.108,0.341,2.28571,16.28571
PAYO,5.63,-0.7054667,11.29,4.915,-46.408318,6.1766,7.12735,2696521,2696521,1.004,2006759040.0,15.638888,31.277777,3.9343119,1.92991,1477717120.0,9.361,1.421,0.84082,0.0696,-0.03012,0.15182,0.011089999,0.09791,72370000.0,157866000.0,,13665000.0,2.806,465926016.0,-9160500.0,224463008.0,1.013,0.999,0.47,1.369,1.44444,8.71429
PAYS,5.16,-0.38610002,8.88,1.8,34.545456,5.5688,4.54305,283606,283606,0.933,280971744.0,36.857143,43.0,6.649484,4.0994205,273029312.0,22.25,3.984,0.59992003,0.09897,0.07535,0.17903,0.01688,0.19646,6783570.0,12270915.0,1.0,2721724.0,6.448,11753184.0,-20186654.0,-8241849.0,1.107,0.378,0.331,0.216,1.4,9.1
PAYX,111.64,0.14351994,161.24,110.16,-24.675673,126.4866,142.2706,2052800,2052800,0.894,40178581504.0,21.10397,25.03139,10.118734,6.935473,43471699968.0,16.542,7.504,0.72827005,0.27855,0.36727002,0.45363998,0.108100004,0.41266,1613699968.0,2628000000.0,-0.102,5021599744.0,126.47,1670899968.0,1686925056.0,2073200000.0,1.268,0.515,0.168,4.643,3.17647,134.7143
PBBK,19.9,-0.2506323,20.07,14.05,36.831272,19.45626,17.368965,952,952,0.132,52543900.0,,20.947369,0.9385907,3.7752478,36908692.0,,2.652,0.0,0.16619,0.29378998,0.0,,,2313000.0,,0.239,45442000.0,,55906000.0,,,,,0.182,23.544,,
PBFS,13.47,1.430727,13.65,10.595,15.478266,13.1732,12.18855,4049,4049,0.452,337834976.0,,18.708332,1.0464574,3.68345,102959416.0,,1.123,0.0,0.22664,0.25132,0.0,,,20787000.0,,-0.292,7898000.0,,229048992.0,,24889000.0,,,0.015,9.385,,
PBHC,15.1,0.0,18.53,13.55,-12.311268,15.1624,15.49815,1676,1676,0.104,93242504.0,,12.583333,0.7613957,2.3899143,204322976.0,,5.237,0.0,0.058130004,0.00827,0.0,0.00247,0.02935,1726000.0,,-0.984,144562000.0,,33135000.0,,11147000.0,,,-0.221,5.372,,
PBM,2.67,9.876543,62.96,2.225,-94.11905,3.32536,5.220095,23522,23522,0.247,4998376.0,,0.063936785,0.2256211,,-5959129.0,1.629,,0.0,0.0,0.0,0.0,-0.54196,,1011790.0,-3658754.0,,0.0,,6135166.0,-3394860.0,-3734238.0,11.037,10.553,,86.083,,
PBMWW,0.0266,-2.91971,0.0272,0.0265,,,,20509,20509,0.247,,,,0.0022477608,,,,,0.0,0.0,0.0,0.0,-0.54196,,1011790.0,-3658754.0,,0.0,,6135166.0,-3394860.0,-3734238.0,11.037,10.553,,86.083,,
PBQQ,,-0.07030038,28.87,22.431,13.337588,28.08302,26.292706,983,983,,,,34.18967,,,,,,,,,,,,,,,,,,,,,,,,,
PBYI,5.19,9.72516,6.12,2.32,47.352028,5.0126,3.80495,1187397,1187397,1.163,261529856.0,21.625,7.0135136,2.2683566,1.2336605,185013936.0,4.141,0.873,0.76908994,0.17443001,0.17573,0.21076,0.099029996,0.39685002,36978000.0,44680000.0,-0.585,41052000.0,35.614,94388000.0,31695250.0,42990000.0,1.736,1.547,-0.324,1.873,3.5,3.5
PC,9.4,0.0,14.0,5.11,24.486828,8.9312,7.781615,0,0,,30497782.0,,,50.537632,7.1081486,516281696.0,-84.82,120.33,0.24841,-1.26625,-2.29881,-1.4186599,-0.40793,-1.2113,-5432893.0,-6086822.0,,1022290.0,9.807,11088375.0,-4052562.0,-14603459.0,8.051,8.034,-0.118,0.198,,
PCAP,10.2,-0.9708774,11.42,9.01,-1.3409972,10.2918,10.316942,23646,23646,,386885984.0,,,-32.58786,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
PCAPU,10.549,0.94736826,12.275,10.14,-2.3364484,10.50972,10.657742,1532,1532,,,,,-33.702877,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
PCAPW,0.75,0.0,0.75,0.75,,,,28579,28579,,,,,-2.396166,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
PCAR,98.02,-0.96989965,118.81,84.65,-15.249592,98.2922,97.85415,2565256,2565256,1.023,51480526848.0,12.631442,19.219608,2.6579533,1.7432412,58886029312.0,15.401,1.994,0.14876,0.091120005,0.099209994,0.12946999,0.049569998,0.14151,2690899968.0,3823399936.0,-0.395,15969899520.0,82.453,9068600320.0,539500032.0,4717199872.0,5.69,5.04,-0.19,17.267,2.26316,107.13333
PCB,21.93,-0.3634708,22.45,16.0,3.9187908,21.1082,20.2757,16486,16486,0.51,312738336.0,11.421875,9.099585,0.98468864,2.9026325,29910226.0,,0.278,0.0,0.32715,0.51714003,0.0,0.01127,0.094399996,34450000.0,,0.5,18961000.0,,369497984.0,,27886000.0,,,0.217,26.124,,24.5
PCH,40.33,-1.1519545,48.12,36.82,-1.2345672,41.2156,41.5735,316648,316648,1.107,3117146880.0,51.050632,49.18293,1.6342492,2.7942166,4123285760.0,21.149,3.696,0.15707,0.057589997,0.11653,0.17477,0.01751,0.032449998,64246000.0,194966000.0,7.25,1058585984.0,55.499,88773000.0,152755008.0,201118000.0,1.963,0.948,0.231,1.149,1.5,49.75
PCLA,0.331,-2.6470597,9.8,0.289,-88.02817,0.4405,1.453745,61775,61775,,11457303.0,,,0.018152902,0.0151051525,-132769488.0,0.334,-0.175,0.55239,-0.63063,-1.14833,-0.52464,-0.26215,-1.15503,-478332000.0,-397940000.0,,185471008.0,41.208,326632992.0,-226100128.0,-307688000.0,2.195,1.372,-0.093,13.233,,
PCMM,,0.02984656,52.73,48.38,-0.08945465,50.37808,50.571716,15369,15369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCRX,24.12,4.5513706,27.64,16.0,37.321426,24.1782,24.5544,994168,994168,0.245,1037673216.0,7.9603963,51.31915,1.4251109,1.447665,1171474816.0,6.744,1.634,0.64893997,0.02991,0.20222001,0.24236,0.03671,0.02903,21438000.0,173718000.0,,425308000.0,58.485,246334000.0,94927000.0,141436992.0,5.256,3.379,0.065,5.726,2.33333,28.6
PCSA,0.3158,-8.516799,1.5,0.15,-67.75701,0.27594,0.317045,816889,816889,1.069,17626798.0,-0.14896227,,2.8709092,,13245166.0,-1.017,,0.0,0.0,0.0,0.0,-1.29936,-2.70737,-12933604.0,-13020143.0,,0.0,,6308420.0,-4953293.0,-10732338.0,3.762,3.614,,0.111,,1.0
PCSC,10.7,0.0,10.75,10.08,6.150794,10.62628,10.48616,1,1,,118422248.0,,,-52.19512,,117077840.0,,,0.0,0.0,0.0,0.0,,,2547189.0,,1.778,0.0,,1344409.0,,-471497.0,5.904,5.359,,0.121,,
PCT,9.89,-2.8487227,17.37,5.4,-19.589256,13.0666,11.004675,3979175,3979175,2.091,1782161664.0,-16.483334,,26.094988,314.86954,2357765120.0,-18.407,416.566,1.0,0.0,-16.02181,0.0,-0.110690005,-0.75034,-234383008.0,-128090000.0,,458400992.0,124.727,234359008.0,-79758624.0,-145892992.0,2.242,1.993,,1.301,1.66667,16.33333
PCTTU,17.8,0.0,23.85,6.6,4.705882,17.8,14.33413,1,1,2.091,,,,46.965694,,3730876416.0,-29.127,659.165,1.0,0.0,-16.02181,0.0,-0.110690005,-0.75034,-234383008.0,-128090000.0,,458400992.0,124.727,234359008.0,-79758624.0,-145892992.0,2.242,1.993,,1.301,,
PCTTW,1.7,-7.1038246,1.7,1.7,,,,1301,1301,2.091,,,,4.485488,,,,,1.0,0.0,-16.02181,0.0,-0.110690005,-0.75034,-234383008.0,-128090000.0,,458400992.0,124.727,234359008.0,-79758624.0,-145892992.0,2.242,1.993,,1.301,,
PCTY,148.88,4.624035,223.8,135.455,-33.14541,156.9735,181.58772,872308,872308,0.582,8096333824.0,20.764296,37.22,7.3365207,4.935474,7598960640.0,21.219,4.632,0.69008005,0.13748999,0.05434,0.21831,0.04782,0.20417,225544992.0,358124992.0,1.333,67201000.0,14.09,206743008.0,327787616.0,413227008.0,1.074,0.07,0.282,3.802,1.65,194.27779
PCVX,45.66,6.383974,103.3,27.66,-56.81224,38.3369,44.511227,1365979,1365979,1.289,5977180160.0,-9.694267,,2.0523193,,3991619840.0,-4.991,,0.0,0.0,0.0,0.0,-0.15071,-0.20829001,-657201024.0,-799798016.0,,84443000.0,2.919,1711320064.0,-381066624.0,-542145984.0,8.834,8.557,,13.073,1.3,98.0
PCYO,11.12,1.090908,14.63,9.65,-6.303239,11.0062,10.684525,42613,42613,1.382,267706256.0,123.55555,19.857143,1.958781,9.753571,257298352.0,21.973,9.374,0.72299004,0.49576,0.25952998,0.42664,0.040700004,0.104729995,13607000.0,11710000.0,-0.233,6873000.0,5.029,14392000.0,-4613750.0,6804000.0,3.524,2.287,-0.324,0.598,,
PDBA,,0.17007193,40.42,33.69,-4.0686665,35.70124,35.67837,7755,7755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDBC,,0.58055097,14.0,12.015,3.6090255,13.416,13.2226,3061164,3061164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDD,137.11,-0.7384379,139.41,87.11,21.379614,130.9216,116.5685,5045327,5045327,0.051,194647719936.0,9.731015,14.774785,0.52930254,0.47518918,395674648576.0,4.281,0.966,0.57445,0.23906,0.24804,0.22566,0.11472,0.31801,97922613248.0,92433162240.0,-0.039,10963319808.0,3.03,387131080704.0,79216779264.0,94228070400.0,2.357,1.99,0.071,69.282,1.68293,145.8398
PDDL,,-1.0445491,43.731,25.85,63.71553,39.27528,36.253677,6981,6981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDEX,33.61,3.3200183,70.26,23.47,-34.349144,32.8972,42.4287,33224,33224,-0.088,109635960.0,16.315535,10.123494,2.6410499,1.5610764,109864992.0,9.13,1.564,0.28089002,0.15935999,0.16778,0.17132999,0.11366,0.30921,11192000.0,12033000.0,0.867,14304000.0,34.457,10552000.0,-2292500.0,-1259000.0,3.729,2.124,0.244,3.235,,56.0
PDFS,26.13,-3.6149073,33.36,15.91,-17.423088,25.0626,22.1019,267765,267765,1.55,1032473600.0,26.13,,3.9046621,4.9948893,1109100288.0,81.744,5.366,0.71175003,-0.00026,0.08451,0.06564,0.01314,-0.00021,-53000.0,13568000.0,-0.474,73784000.0,27.908,35880000.0,-21322250.0,8318000.0,2.211,2.014,0.231,0.908,1.0,34.25
PDLB,15.59,-0.06410403,15.7293,10.88,21.49533,14.6376,13.6721,37711,37711,0.575,374177536.0,42.135136,17.516855,1.1660434,3.887478,984971328.0,,10.233,0.0,0.22337,0.35561,0.0,0.0069700005,0.04157,20374000.0,,1.816,551128000.0,,146828000.0,,43520000.0,,,0.292,6.44,1.0,18.5
PDP,,-1.4709882,123.91,86.41,5.0902724,117.7658,109.0401,6437,6437,,,,34.620415,,,,,,,,,,,,,,,,,,,,,,,,,
PDSB,1.06,8.751408,3.27,0.85,-67.060814,1.03002,1.245635,3547254,3547254,1.079,49847032.0,-0.751773,,3.099415,,32116808.0,-0.939,,0.0,0.0,0.0,0.0,-0.42423,-1.5616001,-36602184.0,-34207856.0,,18536766.0,116.147,31873496.0,-16239975.0,-34367504.0,2.918,2.764,,0.683,,7.5
PDYN,6.81,-1.7316,14.95,1.69,219.35484,8.2344,7.861075,612521,612521,3.739,285671808.0,-7.827586,,5.1087775,65.56617,238428704.0,-8.474,54.723,0.57310003,0.0,-7.97438,0.0,-0.29365,-1.07105,-44793000.0,-28137000.0,,10425000.0,19.366,62702000.0,-12773875.0,-22436000.0,17.121,16.763,-0.626,1.495,,11.5
PDYNW,0.1578,16.802366,0.1874,0.1099,0.0,0.1099,0.1099,131741,131741,3.739,,,,0.1183796,,,,,0.57310003,0.0,-7.97438,0.0,-0.29365,-1.07105,-44793000.0,-28137000.0,,10425000.0,19.366,62702000.0,-12773875.0,-22436000.0,17.121,16.763,-0.626,1.495,,
PEBK,29.65,0.40636277,33.9,23.74,-0.10148883,30.6218,28.90915,54680,54680,0.376,157412384.0,,9.689543,1.0531737,1.8410805,59019300.0,,0.69,0.0,0.19598,0.22969,0.0,0.00986,0.11728,16756000.0,,-0.069,19260000.0,,117016000.0,,21415000.0,,,0.067,22.041,,
PEBO,29.11,0.48326305,37.07,26.21,-18.371374,29.7238,30.0501,106402,106402,0.656,1039313280.0,9.330129,10.178322,0.8597927,1.8714664,1545000704.0,,2.782,0.0,0.18359,0.38459998,0.0,0.01087,0.088360004,100974000.0,,-0.067,731312000.0,,200838000.0,,139359008.0,,,0.009,5.735,,33.08333
