Ticker,Current Price,Regular Market Change,52 Week High,52 Week Low,52 Week Change Percent,50 Day Average,200 Day Average,Volume,Market Volume,Beta,Market Cap,Forward PE,Trailing PE,Price to Book,Price To Sales 12 Months,Enterprise Value,Enterprise To EBITA,Enterprise To Revenue,Gross Margins,Profit Margins,Operating Margins,EBITA Margins,Return on Assets,Return on Equity,Net Income to Common,EBITA,Earnings Growth,Total Debt,Debt to Equity,Total Cash,Free Cashflow,Operating Cashflow,Current Ratio,Quick Ratio,Revenue Growth,Total Cash Per Share,Recommendation Mean,Target Mean Price
AACB,10.27,0.097468115,10.27,9.85,3.8461566,10.1806,10.104358,451,451,,284222272.0,,,-22.822224,,283803584.0,,,0.0,0.0,0.0,0.0,,,-204658.0,,,0.0,,141921.0,,0.0,,,,0.005,,
AACBR,0.31,0.0,0.31,0.31,,,,32,32,,,,,-0.6888889,,,,,0.0,0.0,0.0,0.0,,,-204658.0,,,0.0,,141921.0,,0.0,,,,0.005,,
AACBU,10.49,0.0,12.15,10.0,4.9000025,10.4538,10.284594,26,26,,264085744.0,,,-23.311111,,290168832.0,,,0.0,0.0,0.0,0.0,,,-204658.0,,,0.0,,141921.0,,0.0,,,,0.005,,
AACG,1.4,6.2537923,2.58,0.7,28.155338,1.6106,1.1843,23601,23601,0.973,44456316.0,-1.4141414,,0.79365075,0.15885669,94271592.0,-16.225,0.337,0.54007,-0.09115,-0.24598,-0.02076,-0.04285,-0.37508,-25508590.0,-5810128.0,,45547772.0,81.605,34673596.0,,,0.188,0.093,0.08,0.547,,
AADR,,1.0360596,87.64,61.52,30.742264,84.6936,78.83665,2366,2366,,,,14.811728,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,12.99,-2.4042122,19.1,8.5,-4.313445,12.4394,12.2462,40673475,40673475,1.269,8574522880.0,6.430693,14.931034,-2.1642785,0.15792763,37462753280.0,8.121,0.69,0.23728001,0.011089999,0.0127799995,0.084960006,0.02355,,602000000.0,4613000192.0,,36064002048.0,,7386999808.0,422500000.0,3771000064.0,0.538,0.382,0.003,11.191,2.18182,15.0175
AALG,,-4.42509,16.52,10.16,4.6135426,12.7454,12.958337,4465,4465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAME,2.92,0.68965447,3.71,1.25,71.59763,3.0616,2.1827,20556,20556,0.769,59559908.0,,29.2,0.56132257,0.29933062,55525960.0,8.054,0.279,0.11553001,0.01273,0.090229996,0.034649998,0.0101,0.02448,2133000.0,6894000.0,,42742000.0,40.259,46423000.0,20013750.0,18259000.0,1.566,1.271,0.16,2.276,,
AAOI,23.75,-6.5696306,44.5,9.711,-10.932022,29.4596,22.911224,6032269,6032269,3.219,1621647360.0,32.534245,,2.891405,3.8453906,1833839360.0,-74.166,4.349,0.29332,-0.36968,-0.15331,-0.05863,-0.04463,-0.40431,-155896992.0,-24726000.0,,235163008.0,42.062,136960992.0,-328829504.0,-169467008.0,2.309,1.449,0.821,2.006,2.33333,28.6
AAON,103.9,-1.7865578,142.2,62.0,-23.190302,94.4836,89.41285,888841,888841,1.051,8481778688.0,35.46075,85.86777,9.822272,6.447193,8673208320.0,41.384,6.593,0.26876,0.0762,0.0399,0.1593,0.06491,0.120790005,100251000.0,209576992.0,-0.686,40000000.0,8.581,2859000.0,-289803360.0,-17939000.0,3.035,1.998,0.168,0.035,1.5,115.25
AAPB,,4.170127,36.475,14.5,20.98397,29.61968,24.765936,133117,133117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPD,,-2.1132057,21.96,12.86,-22.695452,14.17408,16.40968,1709249,1709249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPG,32.04,-1.111113,48.45,16.5,86.421165,37.03558,30.540855,5363,5363,1.106,3008401408.0,52.255604,,16.532509,7.701941,11201302528.0,-10.728,28.677,0.90866,-2.96772,-2.3705,-2.6732101,-0.22768,-1.59649,-1159202048.0,-1044163008.0,,1716164992.0,253.905,1661453952.0,36215124.0,-189086000.0,1.54,1.404,-0.716,4.834,1.66667,41.33333
AAPL,275.25,2.1601186,277.32,169.21,20.157873,252.998,224.63075,45848160,45848160,1.109,4067191160832.0,33.12274,36.896782,55.149265,9.773119,4038872793088.0,27.903,9.705,0.46905,0.26915002,0.31647,0.34782,0.22964,1.7142199,112010002432.0,144748003328.0,0.912,112377004032.0,152.411,54697000960.0,78862254080.0,111482003456.0,0.893,0.771,0.079,3.702,2.0,280.45538
AAPU,,4.3879256,43.099,15.89,2.845645,32.0062,27.0542,2039131,2039131,,,,54.35706,,,,,,,,,,,,,,,,,,,,,,,,,
AARD,11.06,5.9387054,19.58,4.88,-27.044027,11.8004,11.199198,88431,88431,,239924768.0,-3.182734,,1.7524958,,85340560.0,-2.09,,0.0,0.0,0.0,0.0,-0.21763,-0.33087003,-36638000.0,-40831000.0,,645000.0,0.471,141820000.0,-19389876.0,-32914000.0,14.042,13.756,,6.536,1.33333,31.42857
AAUS,,3.1367257,55.75,49.186,9.435904,53.8877,52.866898,6,6,,,,29.044476,,,,,,,,,,,,,,,,,,,,,,,,,
AAVM,,0.018787086,29.275,21.1,7.7986717,28.63688,26.52289,41,41,,,,15.740481,,,,,,,,,,,,,,,,,,,,,,,,,
AAXJ,,-0.021054912,96.62,64.33,27.804684,91.9252,81.71185,771436,771436,,,,17.254822,,,,,,,,,,,,,,,,,,,,,,,,,
ABAT,4.06,-5.140193,11.49,0.73,343.06418,4.6522,2.326735,4969113,4969113,1.435,527678016.0,-29.0,,5.0877194,104.99273,526427648.0,-14.126,104.744,-2.33799,0.0,-10.807889,0.0,-0.30200002,-0.5841,-45281984.0,-37267636.0,,278729.0,0.29,30122498.0,-12684044.0,-30507564.0,7.81,5.988,3.642,0.232,,6.0
ABCL,4.01,-0.4962774,6.515,1.891,36.148643,5.0884,3.605175,4306577,4306577,,1200333568.0,-6.0757575,,1.2437966,33.979717,846396608.0,-3.638,23.96,0.0,0.0,-8.51792,0.0,-0.10426,-0.16814,-171676992.0,-232664000.0,,137052000.0,14.216,495672000.0,-226837504.0,-104552000.0,10.103,7.807,0.376,1.658,1.375,9.16667
ABCS,,0.5875848,30.86,24.01,-1.0084689,30.01486,28.752415,1494,1494,,,,15.226265,,,,,,,,,,,,,,,,,,,,,,,,,
ABEO,4.17,-1.4184383,7.54,3.93,-30.76923,5.5282,5.75985,2902178,2902178,1.12,213831520.0,-2.8175676,6.5156255,1.306391,534.5788,15466220.0,-0.214,38.666,0.0,143.105,-56.98,0.0,-0.24503,0.48343,57242000.0,-72432000.0,,24076000.0,14.719,225518000.0,-30065876.0,-65979000.0,6.729,6.581,,4.398,,20.5
ABI,,-0.2808514,25.36,24.88,-0.6786406,25.02868,25.071917,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABIG,,1.353606,32.46,24.99,16.786503,31.60328,30.10335,5,5,,,,30.230404,,,,,,,,,,,,,,,,,,,,,,,,,
ABL,6.71,2.4427457,9.61,4.6,-20.316303,5.9662,6.725725,1035719,1035719,-0.036,655921664.0,8.283951,134.2,1.5085431,3.3371553,973340096.0,13.502,4.952,0.87516,0.05618,0.35591,0.36676,0.049250003,0.03176,11041387.0,72086480.0,,414477824.0,94.287,86418952.0,55309800.0,-110223816.0,0.931,0.899,1.237,0.884,1.4,13.1
ABLLL,,-0.23547672,38.5,20.52,-4.747665,25.15194,25.42442,19479,19479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABLV,0.825,4.6954317,1.77,0.551,-9.425288,0.93386,1.008545,5465,5465,1.51,40746684.0,,,4.2091837,0.35642695,44133036.0,-5.575,0.386,0.091730006,0.02044,0.03203,-0.06925,-0.11314999,-1.20857,-8503972.0,-7916623.0,,11497127.0,119.063,6283350.0,3602341.0,1918397.0,1.439,0.883,-0.239,0.127,,
ABLVW,0.0267,12.658222,0.0279,0.0233,,,,15779,15779,1.51,,,,0.1362245,,,,,0.091730006,0.02044,0.03203,-0.06925,-0.11314999,-1.20857,-8503972.0,-7916623.0,,11497127.0,119.063,6283350.0,3602341.0,1918397.0,1.439,0.883,-0.239,0.127,,
ABNB,122.53,1.9384375,163.93,99.88,-9.75976,123.6868,128.902,4292263,4292263,1.112,74296033280.0,27.22889,29.243437,8.6526375,6.2208853,63477239808.0,22.991,5.315,0.83036005,0.2203,0.39683,0.23118,0.07475,0.30776,2631000064.0,2760999936.0,0.038,2278000128.0,26.458,11683999744.0,3233625088.0,4585999872.0,1.392,0.845,0.097,19.269,2.57778,139.25429
ABOS,1.97,4.2328067,3.2,0.855,-29.345793,1.7654,1.37372,105469,105469,0.237,119329648.0,-1.2875818,,1.0191413,,1215773.0,-0.008,,0.0,0.0,0.0,0.0,-0.39056998,-0.7571,-136664992.0,-143920992.0,,30101000.0,25.71,143368992.0,-71940872.0,-117764000.0,5.969,5.789,,2.367,,6.75
ABP,5.98,2.749138,335.7,4.56,-96.63778,6.1061,10.288925,11843,11843,0.006,15979888.0,,,-0.7564832,87.32179,16312320.0,-1.649,89.138,7.10383,0.0,-54.21311,0.0,-1.8913001,,-22476000.0,-9892000.0,,2225000.0,,2014000.0,7499500.0,-7917000.0,0.15,0.115,,0.754,,
ABPWW,0.0182,-5.208334,0.0187,0.0182,,,,232,232,0.006,,,,-0.0023023402,,,,,7.10383,0.0,-54.21311,0.0,-1.8913001,,-22476000.0,-9892000.0,,2225000.0,,2014000.0,7499500.0,-7917000.0,0.15,0.115,,0.754,,
ABSI,3.45,3.915666,6.33,2.01,-8.791208,3.4404,3.204575,3382534,3382534,2.122,515853120.0,-4.859155,,2.5405006,124.66243,386369184.0,-3.725,93.371,0.0,0.0,-52.939293,0.0,-0.31260002,-0.57385,-113296000.0,-103730000.0,,7412000.0,4.275,117458000.0,-33263124.0,-76408000.0,4.387,3.772,-0.533,0.786,,8.12714
ABTC,4.91,0.40899757,14.65,0.63,17.831326,6.3815,4.313725,3501281,3501281,,4542381056.0,,44.636364,0.8888486,64.99329,144153440.0,0.738,2.063,0.45558998,2.32357,0.14502,2.7961402,,,162394000.0,195422000.0,,49329000.0,14.52,205924992.0,,-69444000.0,7.435,7.435,1.177,3.348,,
ABTS,6.4,3.559875,10.855,0.25,758.3333,6.84954,4.003035,25516,25516,2.796,15167968.0,,,1.513718,2.1554117,17132366.0,12.306,2.435,0.49625,-0.1777,-0.15387,0.19784,-0.07685,-0.11737,-1250483.0,1392235.0,,2625000.0,26.181,145143.0,-2247378.0,119932.0,0.198,0.184,0.089,0.061,,
ABUS,4.71,2.6143765,5.1,2.71,26.098907,4.4122,3.6039,1147318,1147318,0.649,902900800.0,-13.8529415,,10.877598,58.569073,786808000.0,-18.195,51.038,-2.4254,0.0,0.17813998,-2.80507,-0.21008,-0.52818,-54252000.0,-43243000.0,,4999000.0,6.025,98088000.0,-35017000.0,-60191000.0,20.533,19.756,5.222,0.512,,5.178177
ABVC,2.89,1.4035159,5.48,0.4,448.0769,2.9164,1.97323,32910,32910,0.242,68035872.0,-6.568182,,5.803213,85.26696,69743480.0,-14.292,87.407,1.0,0.0,-1.4651899,0.0,-0.17221001,-0.47713003,-5077184.0,-4880031.0,,2472189.0,17.058,257243.0,-1543949.0,-2269398.0,0.626,0.04,1.045,0.011,,
ABVE,2.55,-5.204465,6.56,0.25,417.3077,2.9842,1.56286,1444174,1444174,-0.127,130539208.0,,,-4.3001685,0.44274646,209928432.0,-5.204,0.712,-0.027579999,-0.23358,-0.23252001,-0.13683,,,-61292864.0,-40343004.0,,133839864.0,,664430.0,,-9080686.0,0.232,0.071,-0.45,0.023,,
ABVEW,0.7991,-8.212728,0.9699,0.7613,,,,72448,72448,-0.127,,,,-1.3475548,,,,,-0.027579999,-0.23358,-0.23252001,-0.13683,,,-61292864.0,-40343004.0,,133839864.0,,664430.0,,-9080686.0,0.232,0.071,-0.45,0.023,,
ABVX,109.06,2.7704437,109.71,4.77,927.29913,90.0273,36.829876,769097,769097,-0.111,8488022016.0,-36.112583,,-143.31143,1409.2682,6773403648.0,-36.484,1124.59,1.0,0.0,-44.40879,0.0,-0.57742,-4.9977703,-195388000.0,-185652000.0,,98708000.0,,60946000.0,-88009752.0,-135515008.0,0.766,0.674,-0.813,0.96,1.44444,123.77778
ACAD,23.72,6.84684,26.65,13.4,23.814833,22.549,20.57745,1651517,1651517,0.682,4012992768.0,28.926828,15.3032255,4.373963,3.8324168,2963626240.0,27.325,2.83,0.58997,0.24941999,0.12833,0.10358,0.05114,0.34952,261174000.0,108458000.0,1.128,54809000.0,5.975,847019008.0,25785000.0,198948000.0,3.019,2.766,0.113,5.007,2.05263,29.10526
ACB,4.55,-2.5695908,6.91,3.422,-1.2685001,5.1746,4.929425,467373,467373,,257417600.0,-41.36364,,0.48383668,0.7011716,303993792.0,-67.226,0.828,0.44335997,-0.15662,-0.20576,-0.01232,-0.0224,-0.107659996,-57296000.0,-4522000.0,,100336000.0,17.693,95689000.0,8865125.0,2243000.0,3.415,1.147,0.114,1.692,2.0,6.2256083
ACCL,4.1,-3.755876,5.0,2.1,5.185187,3.4034119,3.4034119,4230,4230,,56990000.0,,51.25,29.927008,11.692515,57485400.0,46.095,11.794,0.47206002,0.23968,0.22198999,0.25586998,,,1168204.0,1247101.0,0.454,341956.0,20.014,2070555.0,,1373122.0,2.231,1.848,0.24,0.149,,
ACDC,4.25,5.8530545,10.7,3.43,-44.544197,4.1019,6.096175,1634327,1634327,1.667,768702528.0,-17.708334,,0.7776761,0.36052084,1987824896.0,5.297,0.932,0.286,-0.12832,-0.08966,0.17602,-0.0128,-0.23061001,-278600000.0,375300000.0,,1227500032.0,120.544,26000000.0,182424992.0,313800000.0,0.907,0.592,-0.134,0.162,3.6,4.2
ACET,0.6462,-1.6288611,1.28,0.447,-45.25,0.83126,0.761245,1306265,1306265,,99033760.0,-0.48586464,,0.49290618,,-32872592.0,0.287,,0.0,0.0,0.0,0.0,-0.39130002,-0.71733004,-115014000.0,-114440000.0,,15536000.0,14.235,103098000.0,-48345000.0,-98438000.0,5.622,5.443,,1.238,1.28571,6.16667
ACFN,16.0,0.8191564,33.0,11.93,-5.816025,26.3408,20.4714,47123,47123,0.084,40074016.0,,6.0150375,7.194245,3.0354505,33386448.0,10.207,2.529,0.73533994,0.54098,0.26865,0.24777001,0.22767,2.21455,7142000.0,3271000.0,1.57,1063000.0,15.359,3253000.0,838000.0,1764000.0,1.665,1.315,0.549,1.3,,
ACGL,90.66,0.9689306,102.37,82.45,-11.204511,89.3562,90.9045,2478015,2478015,0.453,32875669504.0,10.028762,8.49672,1.4487752,1.6822224,32505935872.0,6.486,1.663,0.35639,0.20959,0.30691,0.25646,0.03899,0.17811,4056000000.0,5011999744.0,0.391,2728000000.0,11.501,3475000064.0,6687499776.0,6341000192.0,0.564,0.277,0.082,9.623,2.22222,107.47059
ACGLN,17.51,-0.4548034,20.66,16.44,-13.533467,17.9108,17.5832,15149,15149,0.453,,,3.7326796,0.2798153,,6427481088.0,1.282,0.329,0.35639,0.20959,0.30691,0.25646,0.03899,0.17811,4056000000.0,5011999744.0,0.391,2728000000.0,11.501,3475000064.0,6687499776.0,6341000192.0,0.564,0.277,0.082,9.623,,
ACGLO,21.16,0.14198148,23.452,19.99,-8.289933,21.7178,21.10696,8949,8949,0.453,12338163712.0,,4.510765,0.3381434,0.6313342,7712988160.0,1.539,0.395,0.35639,0.20959,0.30691,0.25646,0.03899,0.17811,4056000000.0,5011999744.0,0.391,2728000000.0,11.501,3475000064.0,6687499776.0,6341000192.0,0.564,0.277,0.082,9.623,,
ACHC,18.24,0.38524872,47.08,17.13,-54.699577,23.2454,26.0145,2204988,2204988,0.887,1649703296.0,4.970027,15.724138,0.528619,0.50518423,4177815808.0,6.665,1.279,0.41777,0.03288,0.14036,0.19195,0.04516,0.036930002,107362000.0,626819008.0,-0.459,2450544896.0,74.486,118693000.0,-361611872.0,334892000.0,1.444,1.2,0.044,1.287,1.85714,26.89286
ACHV,4.77,7.1910152,5.78,1.84,-4.301077,3.6804,3.0528,1046146,1046146,1.692,253926128.0,-4.147826,,7.23824,,188872592.0,-3.624,,0.0,0.0,0.0,0.0,-0.65452003,-1.61082,-52346000.0,-52116000.0,,9958000.0,29.624,48114000.0,,,6.04,5.806,,0.943,1.16667,15.5
ACIC,12.04,0.5847928,15.08,9.97,-11.135859,11.609,11.36065,154833,154833,-0.514,587134272.0,8.026667,6.9595375,1.6235168,1.7882389,508352448.0,3.916,1.548,0.49560001,0.25955,-0.1003,0.39534,0.06611,0.29345,86099000.0,129803000.0,,159190000.0,46.73,188275008.0,93550496.0,120379000.0,1.075,0.462,-0.235,4.357,2.0,14.0
ACIU,3.39,1.1940358,4.0,1.43,9.477127,2.9584,2.288675,158907,158907,1.591,341034016.0,-13.56,,5.476575,78.00412,234186944.0,-3.268,53.565,0.0,0.0,-16.71885,0.0,-0.21965,-0.74628997,-71871000.0,-71652000.0,,4661000.0,7.464,108468000.0,-18465750.0,-46820000.0,1.157,1.124,-0.963,1.075,1.0,9.770284
ACIW,48.0,1.095199,59.71,40.45,-16.364277,50.433,49.5968,866203,866203,1.088,4948224512.0,23.64532,19.433199,3.3507855,2.8582299,5619965440.0,14.603,3.246,0.49665,0.15069,0.26724002,0.2223,0.070089996,0.18576,260876992.0,384846016.0,0.143,924614976.0,62.509,199268000.0,271859136.0,327537984.0,1.579,0.895,0.068,1.933,1.33333,64.6
ACLS,85.58,-2.1047773,102.93,40.4,5.6690454,86.4276,69.26545,561908,561908,1.726,2652905728.0,15.818854,20.183964,2.6004255,3.1095967,2333037312.0,15.733,2.735,0.44675,0.15929,0.117130004,0.17382,0.06397,0.13619,135896992.0,148292992.0,-0.443,72653000.0,7.122,449560000.0,62766624.0,137652000.0,4.945,3.001,-0.167,14.502,2.28571,96.8
ACLX,90.23,5.2981687,107.37,47.86,-14.719349,82.1337,69.9785,540883,540883,0.313,5217357824.0,-40.102222,,11.827238,145.3384,4545252864.0,-19.282,126.616,0.0,0.0,-12.482519,0.0,-0.21339001,-0.47175997,-217903008.0,-235726000.0,,51794000.0,11.751,461383008.0,-77882872.0,-198112992.0,3.987,3.932,-0.81,7.979,1.29412,113.125
ACMR,32.64,-0.94082355,45.12,13.87,76.486336,36.4577,27.73205,1713804,1713804,1.429,2117567360.0,16.73846,18.976744,2.9559863,2.4053698,3895129088.0,27.099,4.425,0.46683,0.13303,0.10746,0.16327,0.0357,0.09937,117109000.0,143736992.0,0.137,297044000.0,15.757,1129806976.0,-49687876.0,44351000.0,3.479,2.445,0.32,8.707,1.44444,40.8125
ACNB,48.32,0.89789164,49.33,35.7,-0.47796965,44.6652,42.7267,21778,21778,0.864,501794112.0,12.55065,14.51051,1.2324643,3.6714134,734263616.0,,5.372,0.0,0.24028,0.50079,0.0,0.01158,0.091809995,32841000.0,,0.69,344280000.0,,107345000.0,,46594000.0,,,0.493,10.337,1.75,51.66667
ACNT,13.09,3.152093,13.7,9.41,34.713375,12.353,12.3847,173555,173555,0.522,122585416.0,16.3625,,1.4088902,0.7151466,82243488.0,11.412,0.48,0.16732,0.00513,-0.020920001,0.04204,0.00021,-0.03379,-3071000.0,7207000.0,,21446000.0,24.626,58042000.0,44830752.0,8028000.0,6.403,5.329,-0.057,6.198,,
ACOG,6.12,-1.2903214,11.54,3.75,9.824562,7.4797,7.47468,36554,36554,2.614,127920872.0,-4.2499995,,3.073832,27.891705,61761380.0,-4.291,13.466,0.70115,0.0,-3.46085,0.0,-0.38268003,-1.3122799,-20014136.0,-14392071.0,,0.0,,39405208.0,-6214042.0,-12065616.0,14.689,13.607,,2.438,,20.0
ACON,7.14,-1.3812143,3500.415,6.2,-99.560196,7.83844,29.45527,5292,5292,1.425,4158128.0,-13.222221,,0.29303128,66.05656,-8648293.0,1.413,-137.388,-0.26368,0.0,-89.88602,0.0,-0.44349,-0.8835,-7060298.0,-6120607.0,,0.0,,12864659.0,-3934805.0,-6354907.0,23.813,22.83,0.761,22.09,,22.0
ACONW,0.0467,-4.887983,0.0467,0.0467,,,,477,477,1.425,,,,0.0019166052,,,,,-0.26368,0.0,-89.88602,0.0,-0.44349,-0.8835,-7060298.0,-6120607.0,,0.0,,12864659.0,-3934805.0,-6354907.0,23.813,22.83,0.761,22.09,,
ACRS,2.3,7.9812126,5.17,1.05,-16.796875,2.0544,1.7363,970000,970000,0.64,249194048.0,-3.9655173,,2.0739405,15.829885,137107360.0,-2.086,8.71,-2.09376,0.0,-5.16793,0.0,-0.22983,-1.1323,-141680000.0,-65738000.0,,2244000.0,1.868,95912000.0,-58373876.0,-42920000.0,3.925,3.925,-0.241,0.885,1.57143,7.85714
ACRV,2.07,1.9704415,8.54,1.05,-75.804535,1.7896,2.33625,296572,296572,1.837,65113180.0,-0.76666665,,0.45514512,,-70305040.0,0.754,,0.0,0.0,0.0,0.0,-0.30323,-0.47875,-85958000.0,-93205000.0,,3263000.0,2.281,137423008.0,-42265124.0,-70828000.0,10.305,10.232,,4.369,,11.16667
ACT,37.62,0.58822834,39.47,30.79,8.030045,37.0846,35.7199,302914,302914,0.523,5432168448.0,8.957143,8.62844,1.0298948,4.434796,5598936576.0,,4.571,0.73030996,0.53867,0.71572,0.0,0.08299,0.12746,659820992.0,,-0.043,744113984.0,13.994,545579008.0,585052864.0,704382976.0,0.97,0.889,0.006,3.778,2.6,40.6
ACTG,3.71,1.6438341,4.66,2.7,-15.313226,3.3796,3.57495,179901,179901,0.498,357868000.0,-17.666668,61.833336,0.6657097,1.260325,132283376.0,2.464,0.466,0.30524,0.017029999,-0.108100004,0.18906,0.00617,0.00982,4835000.0,53683000.0,,106699000.0,18.497,365723008.0,29569500.0,41830000.0,8.632,7.696,1.55,3.791,1.0,5.0
ACTU,6.19,4.9152536,11.99,5.47,-34.5898,7.1695,7.805805,58518,58518,,143876208.0,-4.817121,,-47.615387,,115903944.0,,,0.0,0.0,0.0,0.0,-3.4895499,,-24683480.0,,,0.0,,6492656.0,-14699001.0,-22713928.0,0.727,0.706,,0.313,,26.75
ACWI,,0.33196867,143.05,101.25,17.44504,138.3286,126.9703,1521338,1521338,,,,23.444235,,,,,,,,,,,,,,,,,,,,,,,,,
ACWX,,0.4940033,67.45,48.99,24.163568,65.2304,60.00325,595600,595600,,,,17.413326,,,,,,,,,,,,,,,,,,,,,,,,,
ACXP,5.58,6.2857127,37.8,3.8,-85.810814,5.2102,8.09444,87384,87384,-1.267,11613782.0,-3.6000001,,2.3010309,,2255940.0,,,0.0,0.0,0.0,0.0,-0.98585,-2.85935,-9998860.0,,,0.0,,6064128.0,-4532716.0,-8162290.0,2.376,2.355,,3.826,1.66667,61.7
ADAG,1.7,5.590064,3.16,1.3,-35.51021,1.9538,1.87047,306249,306249,0.728,80123168.0,-2.4637682,,2.1144278,776.3572,37106036.0,-1.132,359.541,1.0,0.0,-322.83603,0.0,-0.24893999,-0.63259,-29889636.0,-32765248.0,,6849932.0,18.068,62828156.0,-17171550.0,-27456540.0,2.292,2.203,,1.066,1.83333,9.514
ADAM,7.19,2.2759578,7.52,5.01,21.626293,7.0288,6.65095,559518,559518,1.19,649312896.0,7.222139,37.842106,0.76359385,2.9952483,11832175616.0,,54.581,0.62391996,0.29584,0.44719002,0.0,0.00479,0.035469998,17673000.0,,0.006,10830736384.0,770.993,187896992.0,,101075000.0,35.372,33.649,0.142,2.081,2.5,11.0
ADAMG,25.1251,-0.2972285,25.69,22.7,0.71942806,24.92634,24.60792,419,419,1.19,,,,2.668341,,13473068032.0,,62.151,0.62391996,0.29584,0.44719002,0.0,0.00479,0.035469998,17673000.0,,0.006,10830736384.0,770.993,187896992.0,,101075000.0,35.372,33.649,0.142,2.081,,
ADAMH,25.5436,-0.06416034,25.74,24.85,2.609396,25.26354,25.215364,19849,19849,1.19,,,,2.7127867,,13505579008.0,,62.301,0.62391996,0.29584,0.44719002,0.0,0.00479,0.035469998,17673000.0,,0.006,10830736384.0,770.993,187896992.0,,101075000.0,35.372,33.649,0.142,2.081,,
ADAMI,,0.15911263,25.59,23.09,-1.1403859,25.01,24.801174,2493,2493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAML,22.235,0.20505103,23.03,19.36,-0.2158463,22.33068,21.897144,1263,1263,1.19,,,,2.361406,,13201196032.0,,60.896,0.62391996,0.29584,0.44719002,0.0,0.00479,0.035469998,17673000.0,,0.006,10830736384.0,770.993,187896992.0,,101075000.0,35.372,33.649,0.142,2.081,,
ADAMM,25.21,0.55843395,25.39,22.5,0.27999878,25.02124,24.71632,7767,7767,1.19,,,,2.6773574,,13461327872.0,,62.096,0.62391996,0.29584,0.44719002,0.0,0.00479,0.035469998,17673000.0,,0.006,10830736384.0,770.993,187896992.0,,101075000.0,35.372,33.649,0.142,2.081,,
ADAMN,22.145,1.8156297,23.17,19.21,-4.3114843,21.9282,21.87182,3039,3039,1.19,,,,2.351848,,13161515008.0,,60.713,0.62391996,0.29584,0.44719002,0.0,0.00479,0.035469998,17673000.0,,0.006,10830736384.0,770.993,187896992.0,,101075000.0,35.372,33.649,0.142,2.081,,
ADAMZ,18.95,0.6372854,21.72,16.75,-7.605493,19.29516,18.74032,2315,2315,1.19,,,,2.0125318,,12897807360.0,,59.497,0.62391996,0.29584,0.44719002,0.0,0.00479,0.035469998,17673000.0,,0.006,10830736384.0,770.993,187896992.0,,101075000.0,35.372,33.649,0.142,2.081,,
ADBE,333.22,1.3288718,557.9,323.03,-37.53087,347.6622,380.59714,2296045,2296045,1.536,139485888512.0,16.215086,20.761372,11.890522,6.0172505,138366615552.0,15.272,5.969,0.89138,0.30012,0.36289,0.39084,0.18094,0.52875,6957000192.0,9059999744.0,0.112,6655000064.0,56.542,5944999936.0,8503625216.0,9792000000.0,1.019,0.87,0.107,14.202,2.025,452.75342
ADBG,,2.3419545,16.99,8.94,-37.318275,10.58078,12.488253,402592,402592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADEA,13.96,-1.6208566,18.25,10.59,13.067734,16.1716,14.304875,818537,818537,1.029,1528762240.0,10.264706,21.476923,3.694099,4.0239906,1887016576.0,9.245,4.967,1.0,0.19318001,0.36872002,0.53729,0.08467,0.18535,73392000.0,204122000.0,-0.529,448140992.0,108.319,115074000.0,136645744.0,205548000.0,3.724,3.506,0.014,1.051,1.66667,19.75
ADGM,0.8724,1.3240399,4.2,0.625,-64.125,1.60116,1.31497,58769,58769,0.137,18477114.0,,,1.5495559,57.382343,22822528.0,-0.752,70.877,0.0,0.0,-98.40061,0.0,-0.90127,,-73658000.0,-30344000.0,,17779000.0,205.158,8200000.0,-28317500.0,-27642000.0,2.503,1.679,,0.533,,
ADI,233.41,0.6077602,258.13,158.65,5.6706905,241.3188,224.4163,3159814,3159814,1.05,114827321344.0,30.956234,59.543365,3.3687901,11.055126,119370383360.0,25.689,11.493,0.60151,0.18847999,0.28551,0.44737998,0.03387,0.05652,1957676032.0,4646811136.0,0.316,8706007040.0,25.541,3469286912.0,3380657152.0,4162209024.0,2.324,1.686,0.246,7.052,1.77143,269.1875
ADIL,0.3321,2.72193,1.3,0.22,-68.62746,0.3588,0.5366,179491,179491,1.108,7249150.0,-0.24969925,,1.2773077,,1142081.0,-0.138,,0.0,0.0,0.0,0.0,-0.88318,-1.7126801,-8449950.0,-8301644.0,,0.0,,5914980.0,-3548171.0,-6482581.0,5.019,4.884,,0.271,,2.16667
ADMA,16.03,8.973492,25.67,13.5,-32.460976,15.3206,17.8569,4777336,4777336,0.448,3815104256.0,22.26389,18.639536,8.86125,7.8088913,3522685184.0,20.129,7.21,0.54708,0.4287,0.38005,0.35821,0.21761999,0.63174,209447008.0,175008992.0,-0.0,83123000.0,19.278,61385000.0,2958500.0,64973000.0,7.128,3.524,0.12,0.258,1.0,27.25
